公告,#genre#
更新日期,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
2026-02-17,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
📡  央视频道,#genre#
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路1』
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4『线路2』
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$LR•IPV4『线路3』
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$LR•IPV4『线路4』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4『线路5』
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$LR•IPV4『线路1』
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$LR•IPV4『线路2』
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$LR•IPV4『线路3』
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4『线路4』
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4『线路5』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$LR•IPV4『线路1』
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$LR•IPV4『线路2』
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$LR•IPV4『线路3』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4『线路4』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4『线路5』
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$LR•IPV4『线路1』
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$LR•IPV4『线路2』
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8$LR•IPV4『线路3』
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$LR•IPV4『线路4』
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$LR•IPV4『线路5』
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$LR•IPV4『线路1』
CCTV5,http://gmxw.7766.org:808/hls/93/index.m3u8$LR•IPV4『线路2』
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$LR•IPV4『线路3』
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$LR•IPV4『线路4』
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$LR•IPV4『线路5』
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$LR•IPV4『线路1』
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$LR•IPV4『线路2』
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$LR•IPV4『线路3』
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$LR•IPV4『线路4』
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8$LR•IPV4『线路5』
